,PSERM average,Library
0,-2.388565669,1
1,-1.829295756,1
2,-3.638233989,1
3,-1.169092132,1
4,-3.148637804,1
5,-3.51581563,1
6,-4.116651907,1
7,-3.470482792,1
8,-0.637432515,1
9,-2.48210756,1
10,-2.817843811,1
11,-3.788171397,1
12,-2.285045261,1
13,-3.124840179,1
14,-1.516437691,1
15,-1.963277947,1
16,-3.736595014,1
17,-1.157896335,1
18,-1.544232929,1
19,-1.6451988,1
20,-2.179734924,1
21,-3.13557754,1
22,-0.468852064,1
23,0.065962072,1
24,-3.485591987,1
25,-2.059878434,1
26,-2.802582305,1
27,-2.785530116,1
28,-3.123444776,1
29,-0.723857808,1
30,-1.0984345,1
31,-1.081452791,1
32,-2.485589089,1
33,-1.715759476,1
34,-2.081343616,1
35,-3.072176123,1
36,-2.945199318,1
37,0.310136267,1
38,-2.913736593,1
39,-2.92532709,1
40,-2.950959332,1
41,-2.758475639,1
42,-1.604900173,1
43,-4.076012972,1
44,-0.461403439,1
45,-1.522382623,1
46,-3.546816053,1
47,-2.082625899,1
48,-0.542809833,1
49,-2.327607556,1
50,-2.672817823,1
51,-2.724108387,1
52,-1.304670417,1
53,-0.323902381,1
54,-2.063614186,1
55,-3.938194489,1
56,-1.406441684,1
57,-3.510377621,1
58,-1.317711839,1
59,-3.187877396,1
60,-4.279383098,1
61,-1.244220217,1
62,0.245470452,1
63,-1.483733109,1
64,-2.881505137,1
65,-0.745117569,1
66,-3.946891512,1
67,-1.183076024,1
68,-1.25513982,1
69,-2.663474289,1
70,-3.425516967,1
71,-1.682709568,1
72,-3.57574861,1
73,-2.809106769,1
74,-0.856688023,1
75,-1.844640195,1
76,-3.378372553,1
77,-1.288238124,1
78,-0.121898715,1
79,-2.309153331,1
80,-0.275851351,1
81,0.308378273,1
82,-4.526393029,1
83,-1.127247292,1
84,-2.346808725,1
85,-1.450137794,1
86,-1.455857135,1
87,-3.265943047,1
88,-1.06356648,1
89,-0.461259352,1
90,-3.115563719,1
91,-2.600231384,1
92,-1.24455291,1
93,-1.701310858,1
94,-5.493742856,1
95,-1.852595299,1
96,-1.491300888,1
97,-3.49735074,1
98,-1.339299578,1
99,-1.964034072,1
100,-1.149828521,1
101,-2.098044593,1
102,-2.220106993,1
103,-0.274433928,1
104,-2.418588923,1
105,-0.20172145,1
106,-2.609252891,1
107,-3.047952722,1
108,-3.621808667,1
109,-3.082978527,1
110,-2.750353103,1
111,-0.512394781,1
112,-4.876655668,1
113,-1.845895011,1
114,-0.451370495,1
115,-2.581152824,1
116,-3.952886692,1
117,-3.059978021,1
118,-3.047210006,1
119,-0.692920601,1
120,-2.074920914,1
121,-4.674652639,1
122,-2.912775841,1
123,-2.816091013,1
124,-1.26201268,1
125,-1.876994152,1
126,-1.38338446,1
127,-1.716569928,1
128,-2.219309089,1
129,-2.367020601,1
130,-3.263484112,1
131,-2.606354441,1
132,-0.51989042,1
133,-2.864530019,1
134,-2.88860856,1
135,-2.361046604,1
136,-3.300513098,1
137,-3.544456793,1
138,-1.746778549,1
139,-1.071925884,1
140,-2.72056925,1
141,-2.394881004,1
142,-0.779412698,1
143,-1.94237674,1
144,-2.84043913,1
145,-1.050754732,1
146,-2.442672052,1
147,-0.031324976,1
148,-1.564580809,1
149,-2.483702299,1
150,-2.911697777,1
151,-1.381120365,1
152,-4.371819726,1
153,-0.963435481,1
154,-2.103238047,1
155,-2.363505389,1
156,-2.888262188,1
157,-1.080654724,1
158,-2.964416601,1
