,PSERM average,Library
0,-5.483856029,0
1,-3.757354134,0
2,-2.863129941,0
3,-5.430801799,0
4,-5.469966637,0
5,-5.176906663,0
6,-4.900409523,0
7,-3.674120773,0
8,-4.866996053,0
9,-3.809543322,0
10,-4.922267544,0
11,-4.267019757,0
12,-3.796963153,0
13,-4.55437645,0
14,-3.563318692,0
15,-5.389779905,0
16,-4.458377272,0
17,-4.021570879,0
18,-3.437403594,0
19,-5.586424347,0
20,-5.248055583,0
21,-5.018387569,0
22,-4.117304438,0
23,-4.570255356,0
24,-3.978976989,0
25,-4.949196698,0
26,-5.110148501,0
27,-6.284171578,0
28,-3.598641374,0
29,-3.960580688,0
30,-4.09580258,0
31,-3.92258235,0
32,-4.761717674,0
33,-4.010136767,0
34,-5.162397149,0
35,-3.991362593,0
36,-3.896279075,0
37,-3.291396386,0
38,-5.519467412,0
39,-5.231077485,0
40,-4.092238746,0
41,-3.05088831,0
42,-3.563480816,0
43,-4.861968384,0
44,-5.34122418,0
45,-4.629346086,0
46,-4.565969236,0
47,-3.010978602,0
48,-3.730772018,0
49,-6.348907964,0
50,-6.508390105,0
51,-5.246772992,0
52,-3.977561137,0
53,-4.359911881,0
54,-5.575254421,0
55,-3.875962984,0
56,-5.444964475,0
57,-5.439184013,0
58,-3.333204087,0
59,-5.208081998,0
60,-3.028311827,0
61,-4.944221691,0
62,-5.048338923,0
63,-4.835774984,0
64,-2.972843116,0
65,-4.750743315,0
66,-5.550330285,0
67,-5.407317097,0
68,-5.613077747,0
69,-1.832462659,0
70,-3.420885699,0
71,-4.319004037,0
72,-4.922664827,0
73,-4.187578358,0
74,-4.439831544,0
75,-5.293375487,0
76,-4.896861444,0
77,-4.627593288,0
78,-6.653341676,0
79,-4.242305457,0
80,-3.550737133,0
81,-3.35032936,0
82,-5.280443129,0
83,-4.632962723,0
84,-4.6469787,0
85,-3.068177359,0
86,-4.806282028,0
87,-4.874791368,0
88,-4.718899281,0
89,-5.294521514,0
90,-4.209395445,0
91,-5.677388182,0
92,-4.704532699,0
93,-3.585630293,0
94,-4.401764949,0
95,-4.441630952,0
96,-4.994715586,0
97,-4.255030966,0
98,-4.604435405,0
99,-3.587921799,0
100,-5.212074821,0
101,-4.773787199,0
102,-3.818663318,0
103,-4.491788666,0
104,-5.293152776,0
105,-3.746621553,0
106,-3.799259263,0
107,-5.459206481,0
108,-4.740978985,0
109,-5.290307752,0
110,-3.658044032,0
111,-4.899810393,0
112,-4.838315165,0
113,-4.269497282,0
114,-4.626537428,0
115,-4.828835619,0
116,-4.971627957,0
117,-3.125812919,0
118,-4.956628377,0
119,-3.933944035,0
120,-4.682377828,0
121,-4.884839123,0
122,-4.13161426,0
123,-4.850263051,0
124,-4.391395581,0
125,-5.197842545,0
126,-5.449690752,0
127,-5.46318144,0
128,-2.58578664,0
129,-4.335012505,0
130,-4.383757678,0
131,-2.733133825,0
132,-5.087368711,0
133,-3.506989946,0
134,-4.21912401,0
135,-3.245909128,0
136,-4.182823774,0
137,-4.588509557,0
138,-5.164545898,0
139,-4.238102035,0
140,-4.779644185,0
141,-6.441910365,0
142,-4.605971921,0
143,-3.929690452,0
144,-2.023795118,0
145,-4.720733172,0
146,-3.6361384,0
147,-3.6917733,0
148,-6.627486953,0
149,-4.754050445,0
150,-4.356829451,0
151,-3.578054634,0
152,-3.689957654,0
153,-4.862111226,0
154,-5.039422825,0
155,-4.705800067,0
156,-4.084054476,0
157,-4.706892304,0
158,-4.92083408,0
159,-5.873137599,0
160,-5.480735322,0
161,-5.930667298,0
162,-4.895652492,0
163,-4.120163196,0
164,-4.743609689,0
165,-4.931716761,0
166,-6.520683301,0
167,-5.03476763,0
168,-4.634161653,0
169,-3.777206495,0
170,-4.515459257,0
171,-5.680675631,0
172,-3.175850745,0
173,-4.005973062,0
174,-4.858007459,0
175,-4.862432286,0
176,-4.767747428,0
177,-5.618447247,0
178,-4.645387868,0
179,-5.760508277,0
180,-4.709297789,0
181,-5.014988626,0
182,-5.171467153,0
183,-5.133732876,0
184,-3.666251972,0
185,-4.196049382,0
186,-4.945073264,0
187,-4.331884906,0
188,-4.551812159,0
189,-4.774706921,0
190,-6.042025091,0
191,-6.945494904,0
192,-4.569366872,0
193,-4.340876789,0
194,-2.974499955,0
195,-4.893041652,0
196,-4.091251221,0
197,-5.140489046,0
198,-2.409739085,0
199,-3.814637008,0
200,-4.732948471,0
201,-4.846773829,0
202,-3.935266689,0
203,-4.801224605,0
204,-3.739629164,0
205,-4.952509288,0
206,-5.593695202,0
207,-5.009968953,0
208,-2.74355853,0
209,-4.629661301,0
210,-3.133367871,0
211,-5.043215805,0
212,-3.303943169,0
213,-3.764228531,0
214,-4.775093456,0
215,-4.140467912,0
216,-5.467058834,0
217,-4.309127858,0
218,-4.628243597,0
219,-5.239975416,0
220,-5.290415585,0
221,-5.247930465,0
222,-4.75390941,0
223,-3.98612178,0
224,-3.391968498,0
225,-4.867605738,0
226,-4.889371072,0
227,-5.323321654,0
228,-4.341880734,0
229,-3.441859312,0
230,-4.226396773,0
231,-2.948592162,0
232,-4.229824937,0
233,-4.680141852,0
234,-3.98336789,0
235,-4.946284069,0
236,-5.403105809,0
237,-1.237482625,0
238,-3.75419709,0
239,-4.026300507,0
240,-5.287013295,0
241,-3.614724315,0
